日期,中国:公开市场操作:货币净投放,中国:水泥价格指数,中国:30大中城市:成交面积:商品房,中国:二手房出售挂牌价指数,中国:平均批发价:猪肉,南华工业品指数,地铁客运量
2017-3-1,-3360.0,101.533,44.68851123333333,138.9225,23.535238095238096,1964.142,3428.068266666667
2017-3-2,2400.0,101.6795,51.655395,141.208,23.4235,2020.166,3419.5425333333333
2017-3-3,-762.5,102.75666666666666,49.20262116666667,140.2075,23.0025,1988.007368421053,3411.0168
2017-4-1,-1000.0,106.5725,49.0557884,146.49,22.298,1955.7425,3402.4910666666665
2017-4-2,700.0,108.33,53.1920881,151.07,21.92375,1844.41625,3393.965333333333
2017-4-3,1200.0,109.13666666666668,54.7526091,149.28,21.68,1838.7183333333328,3385.4396
2017-5-1,100.0,109.68142857142855,58.485040100000006,151.885,21.375714285714285,1802.4042857142856,3376.9138666666663
2017-5-2,200.0,110.23571428571428,49.2887489,152.81,20.917142857142856,1797.3185714285714,3368.3881333333334
2017-5-3,-300.0,110.23333333333332,45.811021,155.215,20.635714285714283,1816.8333333333333,3359.8624000000004
2017-6-1,100.0,109.87,54.1459595,156.66,20.162857142857145,1739.537142857143,3351.3366666666666
2017-6-2,4100.0,109.28142857142858,53.0621335,156.92000000000002,19.92428571428572,1767.2628571428572,3342.810933333333
2017-6-3,-1950.0,108.305,63.588869,157.64,19.86285714285714,1817.76125,3334.2852000000003
2017-7-1,-2500.0,107.65,45.0969923,157.86,19.875,1876.1133333333328,3325.7594666666664
2017-7-2,-700.0,107.53875,48.999494600000006,156.89,19.8125,1944.0725,3317.233733333333
2017-7-3,3950.0,106.92714285714284,47.85777927272727,158.775,19.764285714285712,1983.4857142857145,3308.708
2017-8-1,-400.0,106.27625,52.1970383,159.72,19.97875,2050.72625,3446.69
2017-8-2,400.0,105.965,46.1879745,157.96,20.25166666666667,2073.093333333333,3353.6
2017-8-3,-3300.0,107.05,51.26573445454546,158.31,20.38,2161.268888888889,3421.6563636363635
2017-9-1,-3050.0,108.51333333333334,45.942076,159.48,20.425,2177.0316666666668,3204.156
2017-9-2,2600.0,110.16875,48.4550088,159.585,20.56375,2093.1425,3426.41
2017-9-3,450.0,112.34,60.7443595,160.5,20.54875,1978.1271428571429,3449.4210000000003
